รหัสเขต,รหัสโรงเรียน,ประเภท,รวม
2564-3,86010059,โรงเรียนอื่น สังกัด สพฐ.,7
2564-3,86010059,โรงเรียนสังกัดเอกชน,0
2564-3,86010059,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010059,กศน.,0
2564-3,86010059,อื่น ๆ,0
2564-3,86010059,โรงเรียนอื่น สังกัด อบท.,1
2564-3,86010060,นักเรียนจบทั้งหมด,11
2564-3,86010060,โรงเรียนเดิม,10
2564-3,86010060,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010060,โรงเรียนสังกัดเอกชน,0
2564-3,86010060,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010060,กศน.,0
2564-3,86010060,อื่น ๆ,0
2564-3,86010060,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010061,นักเรียนจบทั้งหมด,17
2564-3,86010061,โรงเรียนเดิม,14
2564-3,86010061,โรงเรียนอื่น สังกัด สพฐ.,2
2564-3,86010061,โรงเรียนสังกัดเอกชน,0
2564-3,86010061,โรงเรียนพระปริยัติธรรม แผนกสามัญ,1
2564-3,86010061,กศน.,0
2564-3,86010061,อื่น ๆ,0
2564-3,86010061,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010062,นักเรียนจบทั้งหมด,31
2564-3,86010062,โรงเรียนเดิม,23
2564-3,86010062,โรงเรียนอื่น สังกัด สพฐ.,6
2564-3,86010062,โรงเรียนสังกัดเอกชน,1
2564-3,86010062,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010062,กศน.,0
2564-3,86010062,อื่น ๆ,1
2564-3,86010062,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010063,นักเรียนจบทั้งหมด,16
2564-3,86010063,โรงเรียนเดิม,0
2564-3,86010063,โรงเรียนอื่น สังกัด สพฐ.,16
2564-3,86010063,โรงเรียนสังกัดเอกชน,0
2564-3,86010063,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010063,กศน.,0
2564-3,86010063,อื่น ๆ,0
2564-3,86010063,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010064,นักเรียนจบทั้งหมด,10
2564-3,86010064,โรงเรียนเดิม,9
2564-3,86010064,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010064,โรงเรียนสังกัดเอกชน,0
2564-3,86010064,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010064,กศน.,0
2564-3,86010064,อื่น ๆ,0
2564-3,86010064,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010066,นักเรียนจบทั้งหมด,14
2564-3,86010066,โรงเรียนเดิม,9
2564-3,86010066,โรงเรียนอื่น สังกัด สพฐ.,5
2564-3,86010066,โรงเรียนสังกัดเอกชน,0
2564-3,86010066,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010066,กศน.,0
2564-3,86010066,อื่น ๆ,0
2564-3,86010066,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010068,นักเรียนจบทั้งหมด,8
2564-3,86010068,โรงเรียนเดิม,0
2564-3,86010068,โรงเรียนอื่น สังกัด สพฐ.,8
2564-3,86010068,โรงเรียนสังกัดเอกชน,0
2564-3,86010068,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010068,กศน.,0
2564-3,86010068,อื่น ๆ,0
